Item,Year,Value
Barley,1961,1278439
Barley,1962,1274735
Barley,1963,1259652
Barley,1964,1220651
Barley,1965,1211808
Barley,1966,1200773
Barley,1967,1138958
Barley,1968,1097890
Barley,1969,1037739
Barley,1970,1025000
Barley,1971,984024
Barley,1972,877608
Barley,1973,873373
Barley,1974,865298
Barley,1975,864293
Barley,1976,838071
Barley,1977,805975
Barley,1978,802958
Barley,1979,785856
Barley,1980,778471
Barley,1981,777961
Barley,1982,769144
Barley,1983,766647
Barley,1984,756216
Barley,1985,750007
Barley,1986,740326
Barley,1987,733570
Barley,1988,723302
Barley,1989,722281
Barley,1990,716984
Barley,1991,716261
Barley,1992,712800
Barley,1993,711324
Barley,1994,710072
Barley,1995,708389
Barley,1996,707712
Barley,1997,682526
Barley,1998,671629
Barley,1999,664490
Barley,2000,660653
Barley,2001,649627
Barley,2002,640576
Barley,2003,635212
Barley,2004,633375
Barley,2005,629670
Barley,2006,600000
Barley,2007,599917
Barley,2008,590042
Barley,2009,586450
Barley,2010,565488
Barley,2011,560540
Barley,2012,551059
Barley,2013,548396
Maize,1961,536070
Maize,1962,532843
Maize,1963,527977
Maize,1964,523523
Maize,1965,514142
Maize,1966,510963
Maize,1967,505905
Maize,1968,503600
Maize,1969,496629
Maize,1970,496197
Maize,1971,492963
Maize,1972,480549
Maize,1973,476123
Maize,1974,470430
Maize,1975,462292
Maize,1976,459672
Maize,1977,451792
Maize,1978,449130
Maize,1979,436075
Maize,1980,425298
Maize,1981,423267
Maize,1982,419130
Maize,1983,416685
Maize,1984,412041
Maize,1985,408898
Maize,1986,402404
Maize,1987,401164
Maize,1988,383255
Maize,1989,366401
Maize,1990,365155
Maize,1991,364663
Maize,1992,349883
Maize,1993,347298
Maize,1994,342816
Maize,1995,338021
Maize,1996,335938
Maize,1997,324993
Maize,1998,313063
Maize,1999,310060
Maize,2000,306271
Maize,2001,301046
Maize,2002,294413
Maize,2003,290564
Maize,2004,288039
Maize,2005,285470
Maize,2006,283825
Maize,2007,281823
Maize,2008,279935
Maize,2009,279468
Maize,2010,277622
Maize,2011,276295
Maize,2012,274125
Maize,2013,265389
Oats,1961,260224
Oats,1962,259590
Oats,1963,255797
Oats,1964,250000
Oats,1965,244220
Oats,1966,242358
Oats,1967,242163
Oats,1968,236341
Oats,1969,235000
Oats,1970,231573
Oats,1971,229578
Oats,1972,221011
Oats,1973,206698
Oats,1974,201160
Oats,1975,201078
Oats,1976,200949
Oats,1977,199804
Oats,1978,199042
Oats,1979,199006
Oats,1980,194939
Oats,1981,189800
Oats,1982,188758
Oats,1983,187221
Oats,1984,185886
Oats,1985,184014
Oats,1986,179532
Oats,1987,179370
Oats,1988,177237
Oats,1989,175476
Oats,1990,174540
Oats,1991,173701
Oats,1992,171521
Oats,1993,170625
Oats,1994,170419
Oats,1995,168850
Oats,1996,161009
Oats,1997,159606
Oats,1998,156927
Oats,1999,152854
Oats,2000,151692
Oats,2001,145860
Oats,2002,144172
Oats,2003,111661
Oats,2004,103185
Oats,2005,102758
Oats,2006,95999
Oats,2007,95648
Oats,2008,85524
Oats,2009,82507
Oats,2010,80837
Oats,2011,77711
Oats,2012,76150
Oats,2013,70813
Rice,1961,70258
Rice,1962,67612
Rice,1963,61075
Rice,1964,58585
Rice,1965,56788
Rice,1966,52796
Rice,1967,48275
Rice,1968,48182
Rice,1969,48097
Rice,1970,45879
Rice,1971,44871
Rice,1972,44580
Rice,1973,42985
Rice,1974,42924
Rice,1975,42513
Rice,1976,42428
Rice,1977,42293
Rice,1978,40912
Rice,1979,39406
Rice,1980,37633
Rice,1981,37612
Rice,1982,36467
Rice,1983,32038
Rice,1984,30300
Rice,1985,30000
Rice,1986,29868
Rice,1987,28501
Rice,1988,27423
Rice,1989,26813
Rice,1990,25839
Rice,1991,23152
Rice,1992,22591
Rice,1993,22097
Rice,1994,20012
Rice,1995,19687
Rice,1996,18403
Rice,1997,16760
Rice,1998,16314
Rice,1999,16230
Rice,2000,15170
Rice,2001,13996
Rice,2002,13582
Rice,2003,13348
Rice,2004,12736
Rice,2005,12699
Rice,2006,12528
Rice,2007,12136
Rice,2008,11865
Rice,2009,11713
Rice,2010,11605
Rice,2011,11015
Rice,2012,11009
Rice,2013,10994
Wheat,1961,10885
Wheat,1962,9756
Wheat,1963,8773
Wheat,1964,8519
Wheat,1965,7597
Wheat,1966,6730
Wheat,1967,6300
Wheat,1968,5109
Wheat,1969,4883
Wheat,1970,2779
Wheat,1971,1807
Wheat,1972,1184
Wheat,1973,1020
Wheat,1974,916
Wheat,1975,900
Wheat,1976,815
Wheat,1977,803
Wheat,1978,798
Wheat,1979,687
Wheat,1980,677
Wheat,1981,656
Wheat,1982,600
Wheat,1983,566
Wheat,1984,531
Wheat,1985,524
Wheat,1986,514
Wheat,1987,484
Wheat,1988,474
Wheat,1989,351
Wheat,1990,302
Wheat,1991,300
Wheat,1992,220
Wheat,1993,204
Wheat,1994,201
Wheat,1995,200
Wheat,1996,200
Wheat,1997,183
Wheat,1998,174
Wheat,1999,173
Wheat,2000,100
Wheat,2001,100
Wheat,2002,100
Wheat,2003,58
Wheat,2004,58
Wheat,2005,51
Wheat,2006,36
Wheat,2007,30
Wheat,2008,26
Wheat,2009,26
Wheat,2010,18
Wheat,2011,10
Wheat,2012,0
Wheat,2013,0
