Item,Year,Value
Barley,1961,12528
Barley,1962,28501
Barley,1963,77711
Barley,1964,48182
Barley,1965,23152
Barley,1966,42428
Barley,1967,37612
Barley,1968,52796
Barley,1969,32038
Barley,1970,36467
Barley,1971,48275
Barley,1972,48097
Barley,1973,20012
Barley,1974,76150
Barley,1975,30300
Barley,1976,82507
Barley,1977,70813
Barley,1978,70258
Barley,1979,22591
Barley,1980,61075
Barley,1981,37633
Barley,1982,42513
Barley,1983,40912
Barley,1984,42985
Barley,1985,45879
Barley,1986,42293
Barley,1987,44580
Barley,1988,56788
Barley,1989,44871
Barley,1990,30000
Barley,1991,27423
Barley,1992,4883
Barley,1993,100
Barley,1994,300
Barley,1995,12699
Barley,1996,183
Barley,1997,200
Barley,1998,100
Barley,1999,798
Barley,2000,900
Barley,2001,0
Barley,2002,524
Barley,2003,351
Barley,2004,916
Barley,2005,220
Barley,2006,58
Barley,2007,18
Barley,2008,58
Barley,2009,26
Barley,2010,36
Barley,2011,51
Barley,2012,30
Barley,2013,26
Maize,1961,42924
Maize,1962,102758
Maize,1963,85524
Maize,1964,231573
Maize,1965,173701
Maize,1966,179532
Maize,1967,168850
Maize,1968,159606
Maize,1969,111661
Maize,1970,170419
Maize,1971,152854
Maize,1972,171521
Maize,1973,260224
Maize,1974,301046
Maize,1975,365155
Maize,1976,436075
Maize,1977,324993
Maize,1978,480549
Maize,1979,349883
Maize,1980,711324
Maize,1981,523523
Maize,1982,364663
Maize,1983,402404
Maize,1984,423267
Maize,1985,408898
Maize,1986,449130
Maize,1987,492963
Maize,1988,629670
Maize,1989,722281
Maize,1990,600000
Maize,1991,95999
Maize,1992,95648
Maize,1993,103185
Maize,1994,39406
Maize,1995,244220
Maize,1996,174540
Maize,1997,175476
Maize,1998,67612
Maize,1999,58585
Maize,2000,80837
Maize,2001,151692
Maize,2002,236341
Maize,2003,366401
Maize,2004,503600
Maize,2005,649627
Maize,2006,599917
Maize,2007,708389
Maize,2008,716984
Maize,2009,682526
Maize,2010,785856
Maize,2011,712800
Maize,2012,707712
Maize,2013,769144
Oats,1961,8519
Oats,1962,11605
Oats,1963,19687
Oats,1964,29868
Oats,1965,16230
Oats,1966,10885
Oats,1967,13996
Oats,1968,7597
Oats,1969,8773
Oats,1970,11713
Oats,1971,12136
Oats,1972,9756
Oats,1973,10994
Oats,1974,11009
Oats,1975,12736
Oats,1976,18403
Oats,1977,22097
Oats,1978,26813
Oats,1979,25839
Oats,1980,13582
Oats,1981,11865
Oats,1982,15170
Oats,1983,13348
Oats,1984,11015
Oats,1985,16314
Oats,1986,16760
Oats,1987,6730
Oats,1988,1807
Oats,1989,2779
Oats,1990,6300
Oats,1991,5109
Oats,1992,0
Oats,1993,302
Oats,1994,100
Oats,1995,174
Oats,1996,173
Oats,1997,200
Oats,1998,201
Oats,1999,484
Oats,2000,566
Oats,2001,600
Oats,2002,687
Oats,2003,677
Oats,2004,803
Oats,2005,656
Oats,2006,531
Oats,2007,474
Oats,2008,204
Oats,2009,10
Oats,2010,514
Oats,2011,1020
Oats,2012,1184
Oats,2013,815
Rice,1961,187221
Rice,1962,194939
Rice,1963,189800
Rice,1964,285470
Rice,1965,281823
Rice,1966,145860
Rice,1967,156927
Rice,1968,177237
Rice,1969,185886
Rice,1970,199042
Rice,1971,279935
Rice,1972,255797
Rice,1973,201160
Rice,1974,276295
Rice,1975,199804
Rice,1976,179370
Rice,1977,144172
Rice,1978,170625
Rice,1979,161009
Rice,1980,229578
Rice,1981,199006
Rice,1982,200949
Rice,1983,206698
Rice,1984,184014
Rice,1985,242358
Rice,1986,188758
Rice,1987,221011
Rice,1988,201078
Rice,1989,242163
Rice,1990,235000
Rice,1991,274125
Rice,1992,283825
Rice,1993,383255
Rice,1994,313063
Rice,1995,335938
Rice,1996,338021
Rice,1997,290564
Rice,1998,310060
Rice,1999,462292
Rice,2000,416685
Rice,2001,451792
Rice,2002,551059
Rice,2003,419130
Rice,2004,532843
Rice,2005,723302
Rice,2006,586450
Rice,2007,590042
Rice,2008,633375
Rice,2009,514142
Rice,2010,425298
Rice,2011,560540
Rice,2012,470430
Rice,2013,459672
Wheat,1961,250000
Wheat,1962,294413
Wheat,1963,277622
Wheat,1964,279468
Wheat,1965,265389
Wheat,1966,259590
Wheat,1967,306271
Wheat,1968,288039
Wheat,1969,342816
Wheat,1970,347298
Wheat,1971,401164
Wheat,1972,476123
Wheat,1973,412041
Wheat,1974,496629
Wheat,1975,505905
Wheat,1976,496197
Wheat,1977,716261
Wheat,1978,635212
Wheat,1979,756216
Wheat,1980,873373
Wheat,1981,984024
Wheat,1982,1037739
Wheat,1983,1200773
Wheat,1984,1220651
Wheat,1985,1278439
Wheat,1986,1211808
Wheat,1987,1259652
Wheat,1988,1138958
Wheat,1989,1097890
Wheat,1990,1025000
Wheat,1991,1274735
Wheat,1992,740326
Wheat,1993,733570
Wheat,1994,865298
Wheat,1995,710072
Wheat,1996,664490
Wheat,1997,802958
Wheat,1998,877608
Wheat,1999,864293
Wheat,2000,838071
Wheat,2001,766647
Wheat,2002,527977
Wheat,2003,548396
Wheat,2004,536070
Wheat,2005,640576
Wheat,2006,510963
Wheat,2007,565488
Wheat,2008,660653
Wheat,2009,671629
Wheat,2010,777961
Wheat,2011,805975
Wheat,2012,750007
Wheat,2013,778471
