dtg,value
01-01-2011,3
01-01-2011,3
01-01-2011,3
01-01-2011,3.1
01-01-2011,3.1
01-01-2011,3.2
01-01-2011,3.2
01-01-2011,3.2
01-01-2011,3.3
01-01-2011,3.3
01-01-2011,3.4
01-01-2011,3.4
01-01-2011,3.8
01-01-2011,3.8
01-01-2011,4.4
01-02-2011,3
01-02-2011,3
01-02-2011,3.2
01-02-2011,3.4
01-02-2011,3.4
01-02-2011,3.4
01-02-2011,3.5
01-02-2011,3.6
01-03-2011,3
01-03-2011,3
01-03-2011,3
01-03-2011,3.1
01-03-2011,3.1
01-03-2011,3.1
01-03-2011,3.1
01-03-2011,3.1
01-03-2011,3.3
01-03-2011,3.3
01-03-2011,3.3
01-03-2011,3.4
01-03-2011,3.4
01-03-2011,3.5
01-03-2011,3.5
01-03-2011,3.6
01-03-2011,4.5
01-03-2011,4.6
01-04-2011,3
01-04-2011,3
01-04-2011,3
01-04-2011,3.2
01-04-2011,3.2
01-04-2011,3.3
01-04-2011,3.3
01-04-2011,3.3
01-04-2011,3.4
01-04-2011,3.5
01-04-2011,3.7
01-04-2011,3.8
01-04-2011,4.2
01-05-2011,3
01-05-2011,3.2
01-05-2011,3.2
01-05-2011,3.2
01-05-2011,3.3
01-05-2011,3.3
01-05-2011,3.4
01-05-2011,3.4
01-05-2011,3.5
01-05-2011,3.5
01-05-2011,3.6
01-05-2011,3.7
01-05-2011,3.7
01-05-2011,3.9
01-05-2011,4.1
01-06-2011,3
01-06-2011,3.3
01-07-2011,3
01-07-2011,3
01-07-2011,3.1
01-07-2011,3.2
01-07-2011,3.3
01-07-2011,3.6
01-07-2011,4.6
01-08-2010,3
01-08-2010,3
01-08-2010,3
01-08-2010,3
01-08-2010,3.1
01-08-2010,3.2
01-08-2010,3.2
01-08-2010,3.2
01-08-2010,3.3
01-08-2010,3.5
01-08-2010,3.5
01-08-2010,4.2
01-08-2010,4.8
01-08-2011,3
01-08-2011,3
01-08-2011,3
01-08-2011,3.1
01-08-2011,3.1
01-08-2011,3.2
01-08-2011,3.2
01-08-2011,3.2
01-08-2011,3.2
01-08-2011,3.3
01-08-2011,3.4
01-08-2011,3.5
01-08-2011,3.6
01-08-2011,3.6
01-08-2011,4.2
01-09-2010,3.1
01-09-2010,3.4
01-09-2010,3.9
01-09-2010,4.2
01-09-2011,3
01-09-2011,3.1
01-09-2011,3.1
01-09-2011,3.1
01-09-2011,3.2
01-09-2011,3.3
01-09-2011,3.3
01-09-2011,3.4
01-09-2011,3.8
01-09-2011,3.8
01-09-2011,4.9
01-09-2011,5.1
01-10-2010,3.1
01-10-2010,3.1
01-10-2010,3.1
01-10-2010,3.2
01-10-2010,3.2
01-10-2010,3.2
01-10-2010,3.3
01-10-2010,3.4
01-10-2010,3.4
01-10-2010,3.4
01-10-2010,3.4
01-10-2010,3.5
01-10-2010,3.5
01-10-2010,3.6
01-10-2010,3.6
01-10-2010,3.6
01-10-2010,3.7
01-10-2010,3.8
01-10-2010,3.9
01-10-2011,3
01-10-2011,3
01-10-2011,3
01-10-2011,3
01-10-2011,3
01-10-2011,3.2
01-10-2011,3.2
01-10-2011,3.3
01-10-2011,3.5
01-10-2011,3.5
01-10-2011,3.6
01-10-2011,5.6
01-11-2010,3
01-11-2010,3
01-11-2010,3.2
01-11-2010,3.3
01-11-2010,3.4
01-11-2010,3.5
01-11-2010,3.6
01-11-2010,3.6
01-11-2010,3.7
01-11-2010,3.8
01-11-2010,4
01-11-2010,4.1
01-11-2010,4.3
01-11-2010,4.6
01-11-2011,3.1
01-11-2011,3.2
01-11-2011,3.3
01-11-2011,3.3
01-11-2011,3.3
01-11-2011,3.4
01-11-2011,3.5
01-11-2011,3.6
01-11-2011,3.7
01-11-2011,4.9
01-12-2010,3
01-12-2010,3.1
01-12-2010,3.1
01-12-2010,3.1
01-12-2010,3.1
01-12-2010,3.1
01-12-2010,3.2
01-12-2010,3.4
01-12-2010,3.5
01-12-2010,3.5
01-12-2010,3.6
01-12-2010,3.8
01-12-2010,3.8
01-12-2010,4.1
01-12-2011,3
01-12-2011,3.1
01-12-2011,3.2
01-12-2011,3.3
01-12-2011,3.3
01-12-2011,3.3
01-12-2011,3.5
01-12-2011,4
02-01-2011,3
02-01-2011,3
02-01-2011,3
02-01-2011,3.1
02-01-2011,3.1
02-01-2011,3.2
02-01-2011,3.4
02-01-2011,3.4
02-01-2011,3.4
02-01-2011,3.5
02-01-2011,3.7
