"date","site","name","sif","doy","year"
"2007-01-15","US-KFS","Kansas Field Station",-0.116402998566628,15,2007
"2007-02-15","US-KFS","Kansas Field Station",0.0461407974362373,46,2007
"2007-03-15","US-KFS","Kansas Field Station",0.142992585897446,74,2007
"2007-04-15","US-KFS","Kansas Field Station",0.343039631843567,105,2007
"2007-05-15","US-KFS","Kansas Field Station",0.521345436573029,135,2007
"2007-06-15","US-KFS","Kansas Field Station",0.610345363616943,166,2007
"2007-07-15","US-KFS","Kansas Field Station",0.756416022777557,196,2007
"2007-08-15","US-KFS","Kansas Field Station",0.641121327877045,227,2007
"2007-09-15","US-KFS","Kansas Field Station",0.635895133018494,258,2007
"2007-10-15","US-KFS","Kansas Field Station",0.245653063058853,288,2007
"2007-11-15","US-KFS","Kansas Field Station",0.138653486967087,319,2007
"2007-12-15","US-KFS","Kansas Field Station",-0.0731308236718178,349,2007
"2008-01-15","US-KFS","Kansas Field Station",0.0700018778443336,15,2008
"2008-02-15","US-KFS","Kansas Field Station",-0.147000715136528,46,2008
"2008-03-15","US-KFS","Kansas Field Station",-0.0303434990346432,75,2008
"2008-04-15","US-KFS","Kansas Field Station",0.231400415301323,106,2008
"2008-05-15","US-KFS","Kansas Field Station",0.576989591121674,136,2008
"2008-06-15","US-KFS","Kansas Field Station",0.797935307025909,167,2008
"2008-07-15","US-KFS","Kansas Field Station",0.942385494709015,197,2008
"2008-08-15","US-KFS","Kansas Field Station",0.604918479919434,228,2008
"2008-09-15","US-KFS","Kansas Field Station",0.48727759718895,259,2008
"2008-10-15","US-KFS","Kansas Field Station",0.199592962861061,289,2008
"2008-11-15","US-KFS","Kansas Field Station",0.0564946532249451,320,2008
"2008-12-15","US-KFS","Kansas Field Station",0.0675604939460754,350,2008
"2009-01-15","US-KFS","Kansas Field Station",0.107194237411022,15,2009
"2009-02-15","US-KFS","Kansas Field Station",0.04660290107131,46,2009
"2009-03-15","US-KFS","Kansas Field Station",0.0857419893145561,74,2009
"2009-04-15","US-KFS","Kansas Field Station",0.194216087460518,105,2009
"2009-05-15","US-KFS","Kansas Field Station",0.671997606754303,135,2009
"2009-06-15","US-KFS","Kansas Field Station",0.775831401348114,166,2009
"2009-07-15","US-KFS","Kansas Field Station",0.784290194511414,196,2009
"2009-08-15","US-KFS","Kansas Field Station",0.870193481445312,227,2009
"2009-09-15","US-KFS","Kansas Field Station",0.406868129968643,258,2009
"2009-10-15","US-KFS","Kansas Field Station",0.152623414993286,288,2009
"2009-11-15","US-KFS","Kansas Field Station",0.110819190740585,319,2009
"2009-12-15","US-KFS","Kansas Field Station",0.0467910319566727,349,2009
"2010-01-15","US-KFS","Kansas Field Station",0.0267324987798929,15,2010
"2010-03-15","US-KFS","Kansas Field Station",0.199179768562317,74,2010
"2010-04-15","US-KFS","Kansas Field Station",0.40881359577179,105,2010
"2010-05-15","US-KFS","Kansas Field Station",0.611437141895294,135,2010
"2010-06-15","US-KFS","Kansas Field Station",0.656139492988586,166,2010
"2010-07-15","US-KFS","Kansas Field Station",0.861117005348206,196,2010
"2010-08-15","US-KFS","Kansas Field Station",0.591881155967712,227,2010
"2010-09-15","US-KFS","Kansas Field Station",0.437493056058884,258,2010
"2010-10-15","US-KFS","Kansas Field Station",0.267618387937546,288,2010
"2010-11-15","US-KFS","Kansas Field Station",0.0745027661323547,319,2010
"2010-12-15","US-KFS","Kansas Field Station",-0.0751638934016228,349,2010
"2011-01-15","US-KFS","Kansas Field Station",-0.116106338799,15,2011
"2011-02-15","US-KFS","Kansas Field Station",-0.0880529060959816,46,2011
"2011-03-15","US-KFS","Kansas Field Station",0.0419463105499744,74,2011
"2011-04-15","US-KFS","Kansas Field Station",0.459375113248825,105,2011
"2011-05-15","US-KFS","Kansas Field Station",0.594597697257996,135,2011
"2011-06-15","US-KFS","Kansas Field Station",0.814309000968933,166,2011
"2011-07-15","US-KFS","Kansas Field Station",0.932230949401855,196,2011
"2011-08-15","US-KFS","Kansas Field Station",0.775738000869751,227,2011
"2011-09-15","US-KFS","Kansas Field Station",0.391228765249252,258,2011
